               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11397,             0.12537,            0.052598,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               2e-05,               2e-05,             0.09982
                   1,             0.11406,             0.13738,            0.052624,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.8899e-05,          4.8899e-05,            0.099549
                   2,             0.11332,             0.14384,            0.052637,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          7.3125e-05,          7.3125e-05,            0.099273
                   3,             0.11071,             0.12561,            0.052593,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.9595e-05,          8.9595e-05,             0.09899
                   4,             0.10936,             0.13486,            0.052481,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          9.6468e-05,          9.6468e-05,            0.098696
                   5,             0.10805,             0.13499,            0.052424,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.35e-05,            9.35e-05,            0.098394
                   6,             0.10672,             0.14073,             0.05225,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.2188e-05,          8.2188e-05,            0.098082
                   7,             0.10939,             0.14692,            0.052366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          6.5664e-05,          6.5664e-05,            0.097766
                   8,             0.10763,             0.14121,            0.052201,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.8345e-05,          4.8345e-05,            0.097448
                   9,             0.10889,             0.13278,            0.052146,                   0,                   0,                   0,                   0,             0.10109,             0.10969,            0.052033,          3.5387e-05,          3.5387e-05,            0.097135
                   0,             0.12133,             0.13437,            0.058186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,             0.10137
                   0,             0.12133,             0.13437,            0.058186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,             0.10137
                   1,              0.1213,             0.14115,            0.058245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.4253e-05,          4.4253e-05,              0.1011
                   1,              0.1213,             0.14115,            0.058245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.4253e-05,          4.4253e-05,              0.1011
                   2,             0.11979,             0.14867,            0.058044,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          6.6178e-05,          6.6178e-05,             0.10081
                   2,             0.11979,             0.14867,            0.058044,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          6.6178e-05,          6.6178e-05,             0.10081
                   3,             0.11826,             0.13105,            0.058003,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.1084e-05,          8.1084e-05,             0.10052
                   3,             0.11826,             0.13105,            0.058003,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.1084e-05,          8.1084e-05,             0.10052
                   4,             0.11498,             0.13498,            0.058007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.7304e-05,          8.7304e-05,             0.10023
                   4,             0.11498,             0.13498,            0.058007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.7304e-05,          8.7304e-05,             0.10023
                   5,             0.11582,             0.13837,             0.05787,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.4618e-05,          8.4618e-05,            0.099918
                   5,             0.11582,             0.13837,             0.05787,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          8.4618e-05,          8.4618e-05,            0.099918
                   6,             0.11456,             0.13831,            0.057714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          7.4381e-05,          7.4381e-05,            0.099603
                   6,             0.11456,             0.13831,            0.057714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          7.4381e-05,          7.4381e-05,            0.099603
                   7,             0.11618,             0.16141,            0.057616,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          5.9426e-05,          5.9426e-05,            0.099284
                   7,             0.11618,             0.16141,            0.057616,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          5.9426e-05,          5.9426e-05,            0.099284
                   8,             0.11294,             0.13612,            0.057492,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.3752e-05,          4.3752e-05,            0.098963
                   8,             0.11294,             0.13612,            0.057492,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.3752e-05,          4.3752e-05,            0.098963
                   9,             0.11561,             0.14086,            0.057396,                   0,                   0,                   0,                   0,             0.10717,              0.1173,            0.057281,          3.2025e-05,          3.2025e-05,            0.098647
                   9,             0.11561,             0.14086,            0.057396,                   0,                   0,                   0,                   0,             0.10717,              0.1173,            0.057281,          3.2025e-05,          3.2025e-05,            0.098647
                   0,             0.12147,               0.115,            0.057372,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,              0.1025
                   0,             0.12147,               0.115,            0.057372,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,              0.1025
                   0,             0.12147,               0.115,            0.057372,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            1.81e-05,            1.81e-05,              0.1025
                   1,             0.12194,             0.12546,            0.057302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.4249e-05,          4.4249e-05,             0.10222
                   1,             0.12194,             0.12546,            0.057302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.4249e-05,          4.4249e-05,             0.10222
                   1,             0.12194,             0.12546,            0.057302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          4.4249e-05,          4.4249e-05,             0.10222
                   2,             0.11952,             0.13017,            0.057194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          6.6153e-05,          6.6153e-05,             0.10193
                   2,             0.11952,             0.13017,            0.057194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          6.6153e-05,          6.6153e-05,             0.10193
