               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11679,             0.10876,            0.063854,                   0,                   0,                   0,                   0,             0.11332,            0.084296,            0.063682,           1.836e-05,           1.836e-05,            0.092403
                   1,             0.11631,             0.11281,            0.063841,                   0,                   0,                   0,                   0,             0.11162,            0.087296,            0.063601,            4.59e-05,            4.59e-05,            0.092153
                   2,             0.11518,             0.11927,             0.06374,                   0,                   0,                   0,                   0,             0.10997,            0.090089,            0.063511,          7.3437e-05,          7.3437e-05,            0.091903
                   3,             0.11349,             0.11297,            0.063587,                   0,                   0,                   0,                   0,             0.10844,             0.09264,            0.063412,          0.00010097,          0.00010097,            0.091653
                   4,             0.11044,             0.11291,            0.063553,                   0,                   0,                   0,                   0,             0.10709,            0.094932,            0.063309,           0.0001285,           0.0001285,            0.091403
                   5,             0.11118,             0.11427,            0.063432,                   0,                   0,                   0,                   0,             0.10599,            0.096707,            0.063208,          0.00015603,          0.00015603,            0.091152
                   6,             0.10921,             0.11672,            0.063232,                   0,                   0,                   0,                   0,             0.10519,            0.097964,            0.063109,          0.00018354,          0.00018354,            0.090902
                   7,              0.1107,             0.13389,            0.063176,                   0,                   0,                   0,                   0,             0.10463,            0.098779,             0.06301,          0.00021105,          0.00021105,            0.090652
                   8,              0.1075,             0.11459,            0.062926,                   0,                   0,                   0,                   0,             0.10414,            0.099499,            0.062911,          0.00023854,          0.00023854,            0.090402
                   9,             0.10925,             0.11906,             0.06287,                   0,                   0,                   0,                   0,             0.10379,             0.10002,            0.062814,          0.00026603,          0.00026603,            0.090151
                  10,             0.10832,             0.11158,            0.062693,                   0,                   0,                   0,                   0,             0.10353,             0.10035,            0.062719,           0.0002935,           0.0002935,            0.089901
                  11,             0.11013,             0.11625,            0.062812,                   0,                   0,                   0,                   0,             0.10338,             0.10056,            0.062627,          0.00032095,          0.00032095,            0.089651
                  12,             0.10815,               0.107,            0.062722,                   0,                   0,                   0,                   0,             0.10321,             0.10081,            0.062536,          0.00034839,          0.00034839,            0.089401
                  13,             0.10917,             0.12008,            0.062487,                   0,                   0,                   0,                   0,             0.10308,             0.10099,            0.062448,          0.00037581,          0.00037581,             0.08915
                  14,             0.10912,             0.11863,            0.062173,                   0,                   0,                   0,                   0,             0.10302,             0.10107,            0.062359,          0.00040322,          0.00040322,              0.0889
                  15,             0.10637,             0.11585,            0.062136,                   0,                   0,                   0,                   0,             0.10292,             0.10121,            0.062273,           0.0004306,           0.0004306,             0.08865
                  16,             0.10615,             0.11357,            0.062064,                   0,                   0,                   0,                   0,             0.10282,             0.10136,            0.062185,          0.00045795,          0.00045795,            0.088399
                  17,             0.10952,             0.12692,            0.061894,                   0,                   0,                   0,                   0,             0.10279,             0.10144,              0.0621,          0.00048529,          0.00048529,            0.088149
                  18,             0.10824,             0.11493,            0.061807,                   0,                   0,                   0,                   0,             0.10276,             0.10148,            0.062014,           0.0005126,           0.0005126,            0.087899
                  19,             0.10819,              0.1132,            0.061808,                   0,                   0,                   0,                   0,             0.10275,             0.10153,            0.061931,          0.00053988,          0.00053988,            0.087648
