   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
          0.00082069,             0.12092,          0.00073883,          0.00015424,             0.11055,            0.092047,             0.05253,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
          0.00080128,             0.11765,          0.00070949,          0.00015158,             0.10923,            0.093951,            0.043081,             0.00936,                0.01,             0.94998,              0.0005,              2.7266,             0.77525,                 0.1,             0.04976,             0.46159,             0.86044,              1.1003,             0.92004,                 0.2,              3.6232,                   0,             0.01457,             0.64496,             0.38803,                   0,             0.09063,              0.4721,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
          0.00081257,             0.11765,          0.00096415,          0.00019948,             0.10933,             0.08678,            0.043278,             0.00936,                0.01,             0.95585,             0.00052,              2.7266,             0.78374,             0.09773,             0.04976,             0.46159,              0.8655,              1.0433,             0.89295,                 0.2,              3.6604,                   0,             0.01493,             0.62994,             0.37355,                   0,             0.09573,              0.4826,                   0,                   0,                   0,                 0.5,             0.94671,                   0,                   0,              2.6842
          0.00079851,             0.11765,          0.00087144,           0.0001811,             0.12394,             0.09064,            0.046246,             0.01015,                0.01,             0.92929,             0.00052,              2.4321,             0.79184,             0.11068,             0.05588,                 0.5,             0.85018,              1.0055,             0.97407,                 0.2,              4.4578,                   0,               0.015,              0.8174,                 0.4,                   0,             0.08693,             0.55951,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1542
                   0,                   0,                   0,                   0,             0.11054,            0.093397,            0.052523,             0.01023,                0.01,             0.94132,             0.00048,              3.0658,             0.79259,             0.09563,                0.05,                 0.5,                   1,              1.0342,              0.9777,                 0.2,              3.9845,                   0,               0.015,                 0.7,              0.3899,                   0,             0.09812,             0.50633,                   0,                   0,                   0,                 0.5,             0.98488,                   0,                   0,              3.0144
          0.00079851,             0.11765,          0.00070942,          0.00015324,             0.10189,            0.092765,            0.050553,             0.00825,                0.01,             0.88553,              0.0005,              2.4771,             0.81209,             0.09485,             0.04706,             0.52673,             0.89242,              1.0808,             0.93682,                 0.2,              3.2491,                   0,             0.01426,             0.61261,             0.41909,                   0,              0.0864,              0.4639,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3285
          0.00079851,             0.11765,          0.00074043,          0.00015726,             0.13612,            0.065505,            0.058231,             0.01177,               0.011,              0.9188,             0.00051,              2.9009,             0.87493,             0.10374,             0.06191,             0.49473,              1.1512,              1.0335,             0.63882,                 0.2,               3.802,                   0,             0.01575,             0.62965,             0.55113,                   0,             0.11059,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2323
          0.00077633,             0.11438,          0.00066802,          0.00014857,             0.13636,            0.065726,            0.055979,             0.01177,               0.011,             0.92889,             0.00054,              2.9785,             0.87493,             0.10588,               0.062,              0.4776,              1.1452,              1.0541,             0.62653,                 0.2,              3.7661,                   0,             0.01575,             0.62965,             0.54056,                   0,              0.1122,             0.49184,                   0,                   0,                   0,                 0.5,             0.94087,                   0,                   0,              3.2323
          0.00079851,             0.11765,          0.00068528,          0.00014705,             0.11824,            0.070006,            0.060594,              0.0128,              0.0128,             0.91055,             0.00049,              3.4727,             0.87493,             0.09858,             0.05458,             0.50089,               1.191,              1.1086,             0.64214,                 0.2,              3.3746,                   0,             0.01641,             0.65642,             0.52854,                   0,             0.11468,             0.45441,                   0,                   0,                   0,                 0.5,             0.83641,                   0,                   0,              3.3692
            0.002833,            0.074177,           0.0018814,            0.000608,             0.12553,            0.069372,            0.057261,             0.01177,             0.01053,             0.93133,             0.00051,              3.1238,                0.95,             0.10243,             0.05378,             0.49473,              1.1226,              1.2681,             0.62721,                 0.2,              5.0911,                   0,              0.0183,             0.62965,             0.58156,                   0,             0.10066,             0.51708,                   0,                   0,                   0,                 0.5,             0.83282,                   0,                   0,               3.205
