               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12506,            0.095185,            0.057476,          0.00079851,             0.11765,          0.00074129,          0.00015881,             0.12054,            0.078282,            0.057056,           0.0002354,           0.0002354,             0.10062
                   1,             0.12558,            0.091792,            0.057411,          0.00079851,             0.11765,          0.00070359,            0.000152,             0.12052,            0.078299,            0.057059,          0.00058734,          0.00058734,            0.097896
                   2,             0.12448,             0.10121,            0.057332,          0.00079851,             0.11765,          0.00070324,          0.00014999,             0.12047,            0.078394,            0.057062,          0.00093787,          0.00093787,            0.095173
                   3,              0.1233,            0.092643,            0.057291,          0.00079851,             0.11765,          0.00068611,           0.0001481,             0.12037,            0.078576,            0.057063,            0.001287,            0.001287,             0.09245
                   4,              0.1229,            0.098443,            0.057172,          0.00077633,             0.11438,          0.00065916,          0.00014715,              0.1202,            0.078862,            0.057061,           0.0016348,           0.0016348,            0.089725
                   5,             0.12245,            0.098333,            0.057038,          0.00079851,             0.11765,          0.00075409,          0.00016246,             0.11994,            0.079274,            0.057055,           0.0019811,           0.0019811,            0.086998
                   6,             0.12257,             0.10683,            0.056978,           0.0017141,             0.10747,           0.0011399,          0.00026097,             0.12016,            0.078895,            0.057051,            0.002326,            0.002326,             0.08427
                   7,             0.12132,            0.095144,            0.056843,                   0,                   0,                   0,                   0,             0.16502,            0.025396,            0.077866,           0.0026696,           0.0026696,            0.081541
                   8,             0.12254,             0.11826,            0.056802,                   0,                   0,                   0,                   0,             0.18479,           0.0082088,             0.26253,           0.0030118,           0.0030118,             0.07881
                   9,             0.12016,             0.11426,            0.056707,                   0,                   0,                   0,                   0,             0.18541,            0.024247,             0.71455,           0.0033525,           0.0033525,            0.076078
                  10,             0.11969,             0.12097,            0.056499,                   0,                   0,                   0,                   0,                 nan,                 nan,              1.5736,           0.0036919,           0.0036919,            0.073344
                  11,             0.11867,             0.11408,            0.056405,                   0,                   0,                   0,                   0,                 nan,                 nan,              2.6579,           0.0040298,           0.0040298,            0.070609
                  12,             0.11881,             0.10565,            0.056136,                   0,                   0,                   0,                   0,                 nan,                 nan,              3.9383,           0.0043664,           0.0043664,            0.067873
                  13,             0.11653,             0.10939,            0.056054,                   0,                   0,                   0,                   0,                 nan,                 nan,              4.3785,           0.0047016,           0.0047016,            0.065135
                  14,             0.11495,             0.10946,            0.055897,                   0,                   0,                   0,                   0,                 nan,                 nan,              4.6028,           0.0050353,           0.0050353,            0.062396
                  15,             0.11756,              0.1123,            0.055619,                   0,                   0,                   0,                   0,                 nan,                 nan,              4.4493,           0.0053677,           0.0053677,            0.059656
                  16,             0.11615,             0.10848,            0.055373,                   0,                   0,                   0,                   0,                 nan,                 nan,              3.9995,           0.0056987,           0.0056987,            0.056914
                  17,             0.11631,              0.1222,            0.055199,           0.0012255,            0.083333,           0.0051654,           0.0015496,                 nan,                 nan,              1.5806,           0.0060282,           0.0060282,             0.05417
                  18,              0.1176,             0.11403,              0.0552,             0.17618,            0.083333,           0.0051654,           0.0015496,                 nan,                 nan,              1.0182,           0.0063564,           0.0063564,            0.051426
                  19,             0.11752,             0.12181,            0.054847,             0.17528,             0.02381,           0.0036224,           0.0008484,                 nan,                 nan,             0.41044,           0.0066832,           0.0066832,            0.048679
                  20,             0.11816,             0.10294,            0.054643,           0.0061269,            0.016667,           0.0012188,          0.00027255,              0.1622,             0.02873,             0.25723,           0.0070086,           0.0070086,            0.045932
                  21,             0.11692,             0.11156,            0.054618,           0.0064699,            0.018691,           0.0010202,          0.00021321,             0.14952,            0.038002,             0.12605,           0.0073326,           0.0073326,            0.043183
                  22,             0.11538,             0.10461,            0.054703,           0.0066057,            0.026098,           0.0010873,          0.00021334,             0.14629,            0.041402,            0.094448,           0.0076551,           0.0076551,            0.040433
                  23,             0.11619,              0.1068,            0.054103,             0.17483,            0.022136,            0.001237,          0.00025255,             0.13691,            0.051018,            0.071851,           0.0079763,           0.0079763,            0.037681
                  24,              0.1181,             0.11964,            0.053966,             0.17568,            0.031693,           0.0011238,          0.00028078,             0.13426,            0.054476,            0.070172,           0.0082961,           0.0082961,            0.034928
                  25,             0.11516,             0.10882,             0.05382,             0.33623,            0.028549,           0.0013844,          0.00035056,             0.12798,            0.063181,            0.065996,           0.0086145,           0.0086145,            0.032173
                  26,             0.11519,            0.095877,            0.054018,             0.50373,            0.012825,           0.0014838,          0.00035437,             0.12348,            0.069597,             0.06314,           0.0089315,           0.0089315,            0.029418
                  27,             0.11209,             0.10877,            0.053297,             0.17286,            0.038722,           0.0026416,          0.00068462,             0.11738,            0.078225,            0.059381,           0.0092471,           0.0092471,             0.02666
                  28,             0.11615,             0.10708,            0.053254,             0.33943,            0.019608,           0.0027317,          0.00076593,              0.1144,            0.082379,            0.057358,           0.0095613,           0.0095613,            0.023902
                  29,             0.11685,            0.098975,            0.053349,             0.84625,            0.014569,           0.0031551,          0.00083591,             0.11447,            0.082076,            0.057164,           0.0098741,           0.0098741,            0.021141
                  30,             0.11516,             0.10194,             0.05318,             0.67194,            0.019608,           0.0026642,          0.00062679,             0.11413,            0.082297,            0.056801,            0.010186,            0.010186,             0.01838
                  31,             0.11582,              0.1077,            0.052862,             0.17034,            0.064496,           0.0022879,          0.00056518,             0.11307,            0.083414,            0.056044,            0.010496,            0.010496,            0.015617
                  32,             0.11488,             0.10069,               0.053,           0.0037125,            0.048896,           0.0025945,          0.00055256,             0.11207,            0.084792,            0.055487,            0.010804,            0.010804,            0.012853
                  33,             0.11612,             0.10178,            0.053109,           0.0045845,            0.061598,           0.0030993,          0.00067665,             0.11014,            0.087302,            0.054389,            0.011001,            0.011001,            0.011001
